Model Name,Tasks,Pretrained Weights Repository,Paper,Model Size (Parameters),Image size,Embedding vector shape,# of images fine-tuned,Epochs fine-tuned,Species mAP (ID),Genus mAP (ID),Genus mAP (OOD),Organism mAP (ID),Organism mAP (OOD),Silhouette (ID),Davies-Bouldin (ID),Calinski-Harabasz (ID),ARI (ID),NMI (ID),Cluster Purity (ID),Mantel R (ID),p-value (ID),Mantels R support (ID),Silhouette (OOD),Davies-Bouldin (OOD),Calinski-Harabasz (OOD),ARI (OOD),NMI (OOD),Cluster Purity (OOD),Mantel R (OOD),p-value (OOD),Mantels R support (OOD)
yoloworldv2_bb_detect_model,"Zero-shot Object Detection (Prompt: 'insect'), Feature extraction",https://github.com/ultralytics/assets/releases/download/v8.3.0/yolov8x-worldv2.pt,https://arxiv.org/pdf/2401.17270v2,68.2M,640x640,"( , 640)",0,N/A,N/A,N/A,N/A,0.1997,0.1684,0.3334,1.146,328.7954,0.0011,0.0212,0.0823,-0.1506,0.311,32,0.2562,1.1183,99.6116,0.0024,0.0328,0.1115,-0.071,0.482,72
yolov9e_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov9_oc,https://arxiv.org/abs/2402.13616,58.1M,640x640,"( , 512)",11 507,100,0.89,0.9371,0.1853,0.9745,0.7769,0.2797,0.8943,583.5217,0.0072,0.1272,0.1363,-0.0395,0.749,32,0.2083,1.0573,39.5503,0.0029,0.0299,0.1757,-0.0154,0.867,72
yolov9e_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov9_od,https://arxiv.org/abs/2402.13616,58.1M,640x640,"( , 512)",46 781,100,N/A,N/A,N/A,0.9609,0.9447,0.1714,1.4861,243.5296,0.0013,0.0302,0.0794,-0.0637,0.657,32,0.2428,1.4458,741.849,0.0214,0.138,0.1956,0.0005,0.997,72
yolov8x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov8_oc,https://arxiv.org/abs/2408.15857,68.2M,640x640,"( , 640)",11 507,100,0.8842,0.9255,0.2282,0.9731,0.7196,0.262,0.9425,587.5894,0.0046,0.1004,0.1156,-0.1092,0.393,32,0.3593,1.1656,210.2135,0.0019,0.0251,0.1117,-0.0886,0.202,72
yolov8x_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov8_od,https://arxiv.org/abs/2408.15857,68.2M,640x640,"( , 640)",46 781,100,N/A,N/A,N/A,0.9673,0.9559,0.0561,1.3672,163.8281,0.0043,0.0669,0.1013,-0.0536,0.718,32,0.3316,1.2511,3302.8547,-0.002,0.0187,0.1307,0.0094,0.922,72
yolov12x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov12_oc,https://arxiv.org/pdf/2502.12524,59.1M,640x640,"( , 768)",12 507,100,0.8854,0.9371,0.2059,0.9691,0.7021,0.2657,1.0177,434.3505,0.0044,0.0937,0.1133,-0.1194,0.382,32,0.2578,1.2137,45.696,0.0006,0.0097,0.1123,-0.0419,0.641,72
yolov12x_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov12_od,https://arxiv.org/pdf/2502.12524,59.1M,640x640,"( , 768)",46 781,100,N/A,N/A,N/A,0.9716,0.7546,0.3258,1.1295,627.9548,0.0042,0.0852,0.1002,-0.1532,0.279,32,0.2189,1.2177,28.533,0.0004,0.0069,0.1121,0.0643,0.466,72
yolov11x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov11_oc,https://www.arxiv.org/abs/2410.17725,56.9M,640x640,"( , 768)",11 507,100,0.8641,0.9171,0.2006,0.9511,0.6939,0.287,1.1504,509.429,0.0047,0.0921,0.1047,-0.1267,0.327,32,0.2983,1.1092,67.1152,0.0007,0.0117,0.112,-0.0189,0.794,72
yolov11x_bb_detect_model,"Single-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov11_od,https://www.arxiv.org/abs/2410.17725,56.9M,640x640,"( , 768)",46 781,100,N/A,N/A,N/A,0.9485,0.9271,0.0741,1.3228,372.3884,0.0078,0.1096,0.0997,-0.0414,0.756,32,0.2984,1.1572,1400.2795,0.0254,0.1364,0.1775,0.0097,0.916,72
yolov10x_bb_multi_class_detect_model,"Multi-class Object Detection, Feature extraction",https://huggingface.co/IBBI-bio/ibbi_yolov10_oc,https://arxiv.org/abs/2405.14458,29.5M,640x640,"( , 640)",11 507,100,0.876,0.9254,0.2016,0.9593,0.6027,0.2355,1.1505,387.4236,0.0043,0.0873,0.1163,-0.0891,0.498,32,0.2556,1.1246,46.4248,0.0009,0.0155,0.1122,-0.0567,0.488,72
