table,columns
aws_securityhub_member,"{member_account_id,administrator_id,email,invited_at,master_id,member_status,updated_at,title,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_ecs_service,"{service_name,arn,status,cluster_arn,task_definition,created_at,created_by,deployment_controller_type,desired_count,enable_ecs_managed_tags,enable_execute_command,health_check_grace_period_seconds,launch_type,pending_count,platform_family,platform_version,propagate_tags,role_arn,running_count,scheduling_strategy,capacity_provider_strategy,deployment_configuration,deployments,events,load_balancers,network_configuration,placement_constraints,placement_strategy,service_registries,task_sets,tags_src,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_identitystore_group,"{identity_store_id,name,id,description,external_ids,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_ssm_maintenance_window,"{name,window_id,enabled,allow_unassociated_targets,description,tags_src,duration,cutoff,schedule,schedule_offset,targets,tasks,created_date,end_date,schedule_timezone,start_date,modified_date,next_execution_time,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_account,"{account_aliases,arn,organization_id,organization_arn,organization_feature_set,organization_master_account_arn,organization_master_account_email,organization_master_account_id,organization_available_policy_types,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_api_gatewayv2_domain_name,"{domain_name,api_mapping_selection_expression,domain_name_configurations,mutual_tls_authentication,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_servicecatalog_portfolio,"{display_name,id,arn,created_time,description,provider_name,budgets,tag_options,tags_src,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_glue_data_catalog_encryption_settings,"{encryption_at_rest,connection_password_encryption,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_iam_policy_attachment,"{policy_arn,is_attached,policy_groups,policy_roles,policy_users,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_vpc_endpoint,"{vpc_endpoint_id,service_name,owner_id,vpc_id,vpc_endpoint_type,state,private_dns_enabled,requester_managed,policy,policy_std,subnet_ids,route_table_ids,groups,network_interface_ids,dns_entries,creation_timestamp,tags_src,tags,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_dynamodb_backup,"{name,arn,table_name,table_arn,table_id,backup_status,backup_type,backup_creation_datetime,backup_expiry_datetime,backup_size_bytes,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_glacier_vault,"{vault_name,vault_arn,creation_date,last_inventory_date,number_of_archives,size_in_bytes,policy,policy_std,vault_lock_policy,vault_lock_policy_std,vault_notification_config,tags_src,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_servicequotas_service,"{service_name,service_code,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_ssoadmin_instance,"{arn,identity_store_id,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_vpc_eip,"{allocation_id,arn,public_ip,public_ipv4_pool,domain,association_id,carrier_ip,customer_owned_ip,customer_owned_ipv4_pool,instance_id,network_border_group,network_interface_id,network_interface_owner_id,private_ip_address,tags_src,tags,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_sqs_queue,"{queue_url,queue_arn,fifo_queue,fifo_throughput_limit,delay_seconds,max_message_size,message_retention_seconds,receive_wait_time_seconds,sqs_managed_sse_enabled,visibility_timeout_seconds,policy,policy_std,redrive_policy,content_based_deduplication,deduplication_scope,kms_master_key_id,tags,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_servicecatalog_portfolio_share,"{portfolio_id,portfolio_arn,portfolio_display_name,type,principal_id,accepted,share_principals,share_tag_options,title,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
aws_iam_policy_simulator,"{principal_arn,action,resource_arn,decision,decision_details,matched_statements,missing_context_values,resource_specific_results,organizations_decision_detail,permissions_boundary_decision_detail,sp_connection_name,sp_ctx,_ctx}"
aws_tagging_resource,"{name,arn,compliance_status,keys_with_noncompliant_values,noncompliant_keys,tags_src,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx}"
