function,description,subgroup
EXT,extent,default
LOC,location,default
DIR,direction,default
NEG,negation,default
MOD,general modification,default
ADV,adverbial modification,default
MNR,manner,default
PRD,secondary predication,default
REC,recipricol,default
TMP,temporal,default
PRP,purpose,default
PNC,purpose no cause,default
CAU,cause,default
CXN,constructional pattern,default
ADJ,adjectival,default
COM,comitative,default
DIS,discourse,default
DSP,direct speech,default
GOL,goal,default
PAG,prototypical agent,default
PPT,prototypical patient,default
RCL,relative clause,default
SLC,selectional constraint link,default
VSP,verb specific,default
LVB,light verb,default
SE1,first thing,spatial
SE2,second thing,spatial
SE3,third thing,spatial
SE4,fourth thing,spatial
SE5,fifth thing,spatial
SE6,sixth thing,spatial
SCL,scale,spatial
DOM,domain,spatial
ANC,anchor,spatial relation
ANC1,first anchor,spatial relation
ANC2,second anchor,spatial relation
ANG,angle,spatial relation
AXS,axis,spatial relation
AXSp,perpendicular axis,spatial relation
AXSc,central axis,spatial relation
AXS1,axis of spatial entity 1,spatial relation
AXS2,axis of spatial entity 2,spatial relation
WHL,whole,spatial relation
SEQ,sequence,spatial relation
PSN,position,spatial relation
SET,none,unknown
SRC,Source,unknown
PRT,none,unknown
