name,type,value,tags,description,read,write
/metrics/network/interface_report_request,uint32,N/A,"metrics,network",Count of Network Interface Report requests,ssm_owner,ssm_owner
/net/cell/state,str,N/A,"netstats,network,toggle_cell",toggle_cell cell online state,ssm_owner,
/net/plc/state,str,N/A,"netstats,network,toggle_cell",toggle_cell plc online state,ssm_owner,
/net/sta0/state,str,N/A,"netstats,network,toggle_cell",toggle_cell sta0 online state,ssm_owner,
/net/wan/state,str,N/A,"netstats,network,toggle_cell",toggle_cell wan online state,ssm_owner,
/network/report/send,uint16,N/A,N/A,Trigger communicator to send a network interface report,ssm_owner,ssm_owner
/sys/devices/inverter/{index}/freqHz,float,0,"telemetry,inverter",Frequency in Hz dectected by the inverter,ssm_owner,
/sys/devices/inverter/{index}/i3phsumA,float,0,"telemetry,inverter",Sum of phase currents in A,ssm_owner,
/sys/devices/inverter/{index}/iMppt1A,float,0,"telemetry,inverter",Current of MPPT1 in A,ssm_owner,
/sys/devices/inverter/{index}/ltea3phsumKwh,float,0,"telemetry,inverter",Lifetime sum of 3-phase energy in kWh,ssm_owner,
/sys/devices/inverter/{index}/msmtEps,str,n/a,"telemetry,inverter",Timestamp of the last measurement,ssm_owner,
/sys/devices/inverter/{index}/p3phsumKw,float,0,"telemetry,inverter",Sum of 3-phase power in kW,ssm_owner,
/sys/devices/inverter/{index}/pMppt1Kw,float,0,"telemetry,inverter",Power of MPPT1 in kW,ssm_owner,
/sys/devices/inverter/{index}/prodMdlNm,str,n/a,"telemetry,inverter",Product model name,ssm_owner,
/sys/devices/inverter/{index}/sn,str,n/a,"telemetry,inverter",Serial number of the inverter,ssm_owner,
/sys/devices/inverter/{index}/tHtsnkDegc,int32,0,"telemetry,inverter",Temperature of the heat sink in °C,ssm_owner,
/sys/devices/inverter/{index}/vMppt1V,float,0,"telemetry,inverter",Voltage of MPPT1 in V,ssm_owner,
/sys/devices/inverter/{index}/vln3phavgV,float,0,"telemetry,inverter",Average line-to-neutral voltage of 3-phase system in V,ssm_owner,
/sys/devices/meter/{index}/ctSclFctr,int32,0,"telemetry,meter",CT scaling factor,ssm_owner,
/sys/devices/meter/{index}/freqHz,float,0,"telemetry,meter",Frequency in Hz,ssm_owner,
/sys/devices/meter/{index}/i1A,float,0,"telemetry,meter",Current in A for phase 1,ssm_owner,
/sys/devices/meter/{index}/i2A,float,0,"telemetry,meter",Current in A for phase 2,ssm_owner,
/sys/devices/meter/{index}/msmtEps,str,n/a,"telemetry,meter",Timestamp of the last measurement,ssm_owner,
/sys/devices/meter/{index}/negLtea3phsumKwh,float,0,"telemetry,meter",Negative lifetime sum of 3-phase energy in kWh,ssm_owner,
/sys/devices/meter/{index}/netLtea3phsumKwh,float,0,"telemetry,meter",Net lifetime sum of 3-phase energy in kWh,ssm_owner,
/sys/devices/meter/{index}/p1Kw,float,0,"telemetry,meter",Power in kW for phase 1,ssm_owner,
